Frank,Gothic Type,Author,Gender,Title,Year,No. from Tracy
251,"Marginal Gothic (intermittent terror episodes, picaresque and domestic elements)","Lucas, Charles",m,"THE CASTLE OF ST. DONATS: OR, THE HISTORY OF JACK SMITH",1798,
383,Gothic parody,"R. S., esq",m,THE NEW MONK,1798,
407,Pure or high Gothic (imitation of OTRANTO and other first Gothics),"Sickelmore, Richard",m,"EDGAR: OR, THE PHANTOM OF THE CASTLE",1798,
42,Gothified History,"Brewer, James Norris",m,A WINTER'S TALE,1799,9
88,Pure or high Gothic (horror-terror modes),"Curties, T. J. Horsley (Thomas Isaac)",m,"ETHELWINA, OR, THE HOUSE OF FITZ-AUBURNE. A ROMANCE OF FORMER TIMES",1799,30
140,Gothified history (didactic elements),"Godwin, William",m,ST. LEON. A TALE OF THE SIXTEENTH CENTURY,1799,50
198,Pure or high Gothic (monastic shocker in horror-terror modes; imitation of THE MONK),"Ireland, William Henry",m,THE ABBESS. A ROMANCE,1799,74
342,Pure or high Gothic (terror mode),"Proby, William Charles",m,THE MYSTERIOUS SEAL,1799,
451,Sentimental Gothic (Radcliffean imitation),"Thomas, Francis Tracy",m,MONK-WOOD PRIORY,1799,
199,Pure or high Gothic (terror mode),"Ireland, William Henry",m,"RIMAULDO, OR, THE CASTLE OF BADAJOS",1800,76
228,Naturalized Gothic (domestic and sentimental elements),"Lathom, Francis",m,MYSTERY. A NOVEL,1800,89
343,"Pure or high Gothic (terror mode, Radcliffean imitation)","Proby, William Charles",m,THE SPIRIT OF THE CASTLE,1800,
408,Pure or high Gothic (elements of THE MONK's loathsome descriptions),"Sickelmore, Richard",m,MARY JANE. A NOVEL,1800,168
430,"Pure or high Gothic (Schauerromantik features, imitation of THE MONK)","Somerset, Henry",m,"JACQUELINE OF OLZENBERG: OR, FINAL RETRIBUTION",1800,
464,Pure or high Gothic (imitation of THE MONK),"Walker, George",m,THE THREE SPANIARDS: A ROMANCE,1800,
,(not indexed),"Williams, William Frederick",m,FITZMAURICE,1800,204
89,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"ANCIENT RECORDS, OR, THE ABBEY OF SAINT OSWYTHE. A ROMANCE",1801,29
252,"Political and polemical Gothic (satiric and philosophic elements, attack on Godwin and Jacobin novelists)","Lucas, Charles",m,THE INFERNAL QUIXOTE. A TALE OF THE DAY,1801,104
431,"Ritterroman (speculative, sham translation from German sources, terror mode)","Somerset, Henry",m,"MARTYN OF FENROSE: OR, THE WIZARD AND THE SWORD",1801,
,(not indexed),"Lewis, Matthew (and other)",m,TALES OF TERROR. WITH AN INTRODUCTORY DIALOGUE,1801,101
45,Philosophical Gothic (domestic elements),"Brydges, Sir Samuel Egerton",m,LE FORESTER. A NOVEL,1802,12
229,"Pure or high Gothic (quest story, picaresque elements)","Lathom, Francis",m,ASTONISHMENT!!! A ROMANCE OF A CENTURY AGO,1802,85
280,"Pure or high Gothic (terror mode, chapbook quality)","Melville, Theodore",m,"THE WHITE KNIGHT: OR, THE MONASTERY OF THE MORNE",1802,
296,Pure or high Gothics (a multiple Gothic containing elements of several subspecies of Gothic fiction) ,"Moore, George",m,"THEODOSIUS DE ZULVIN, THE MONK OF MADRID. A SPANISH TALE, DELINEATING VARIOUS TRAITS OF THE HUMAN MIND",1802,119
27,Gothic Chapbook (monastic shocker variety),"Barrington, George",m,"ELIZA: OR, THE UNHAPPY NUN",1803,
254,Pure or high Gothic (Schauerromantik elements),"Lyttleton, Mr.",m,THE GERMAN SORCERESS,1803,
329,"Pure or high Gothic (elements of THE MONK, monster story, transformation motif)","Pickersgill, Joshua, Jr.",m,THE THREE BROTHERS. A ROMANCE,1803,129
412,Räuberroman (various Radcliffean elements),"Siddons, Henry",m,REGINALD DE TORBY AND THE TWELVE ROBBERS,1803,
452,Pure or high Gothic (terror mode),"Thomson, Alexander",m,THE THREE GHOSTS OF THE FOREST. A TALE OF HORROR. AN ORIGINAL ROMANCE,1803,188
465,"Pure or high Gothic (strains of horror, terror, and Schauerromantik effects)","Walker, George",m,DON RAPHAEL. A ROMANCE,1803,190
68,Pure or high Gothic (romance of the ruin),"Clifford, Francis",m,THE RUINS OF TIVOLI: A ROMANCE,1804,
79,Gothic chapbook,"Crookenden, Isaac",m,"STORY OF MORELLA DE ALTO, OR, THE CRIMES OF SCORPINO DEVELOPED",1804,27
90,Gothified history (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"THE WATCH TOWER, OR, THE SONS OF ULTHONA. AN HISTORICAL ROMANCE",1804,33
116,"Gothic anthology (essays on Gothic theory, fragments, Gothic prose and verse)","Drake, Nathan",m,"LITERARY HOURS, OR SKETCHES CRITICAL, NARRATIVE, AND POETICAL",1804,43
200,Pure or high Gothic (Schauerromantik tendencies),"Ireland, William Henry",m,"BRUNO: OR, THE SEPULCHRAL SUMMONS",1804,
490,Gothified history (terror mode),"Williams, William Frederick",m,THE WITCHERIES OF CRAIG ISAF,1804,
491,Domestic fiction (digressive Gothic tendencies),"Williams, William Frederick",m,THE WORLD WE LIVE IN. A NOVEL,1804,205
80,Gothic chapbook,"Crookenden, Isaac",m,"THE SKELETON, OR, MYSTERIOUS DISCOVERY. A GOTHIC ROMANCE",1805,25
201,Pure or high Gothic/Gothified history (horror-terror modes),"Ireland, William Henry",m,"GONDEZ, THE MONK. A ROMANCE OF THE THIRTEENTH CENTURY",1805,75
230,"Domestic Gothic (twin theme, Shakespearean names and situations)","Lathom, Francis",m,"THE IMPENETRABLE SECRET, FIND IT OUT!",1805,
236,Pure or high Gothic (domestic terror),"Lathy, Thomas Pike",m,USURPATION: OR THE INFLEXIBLE UNCLE,1805,
245,Rauberroman (terror mode),"Lewis, Matthew",m,THE BRAVO OF VENICE,1805,96
409,"Pure or high Gothic (romance of the ruin, numerous Radcliffean elements)","Sickelmore, Richard",m,"RASHLEIGH ABBEY: OR, THE RUIN ON THE ROCK",1805,
,(not indexed),"Godwin, William",m,"FLEETWOOD, OR, THE NEW MAN OF FEELING",1805,49
9,Gothified history,"Armstrong, Leslie",m,"THE ANGLO-SAXONS: OR, THE COURT OF ETHELWULPH. A ROMANCE",1806,
48,Pure or high Gothic (horror mode),"Carey, David",m,THE SECRETS OF THE CASTLE,1806,
81,Gothic chapbook,"Crookenden, Isaac",m,"FATAL SECRETS, OR, ETHERLINDA DE SALMONI. A SICILIAN STORY",1806,20
82,Gothic chapbook,"Crookenden, Isaac",m,"THE MYSTERIOUS MURDER, OR, THE USURPER OF NAPLES. AN ORIGINAL ROMANCE. TO WHICH IS PREFIXED THE NOCTURNAL ASSASSIN, OR, SPANISH JEALOUSY",1806,23
91,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,"ST. BOLTOPH'S PRIORY, OR, THE SABLE MASK. AN HISTORICAL ROMANCE",1806,32
231,Gothified history (terror mode),"Lathom, Francis",m,"THE MYSTERIOUS FREEBOOTER, OR, THE DAYS OF QUEEN BESS. A ROMANCE",1806,88
237,Pure or high Gothic (Schauerromantik elements),"Lathy, Thomas Pike",m,"THE INVISIBLE ENEMY, OR, THE MINES OF WIELITSKA. A POLISH LEGENDARY ROMANCE",1806,91
289,Pure or high Gothic (terror mode),"Montague, Edward",m,THE CASTLE OF BERRY-POMEROY,1806,
339,"Pure or high Gothic (Schauerromantik elements, free translation from Veit Weber)","Powell, James",m,"WOLF: OR, THE TRIBUNAL OF BLOOD",1806,
,(not indexed),"Lewis, Matthew",m,"FEUDAL TYRANTS, OR, THE COUNTS OF CARLSHEIM AND SARGANS. A ROMANCE. TAKEN FROM THE GERMAN",1806,97
92,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,THE MONK OF UDOLPHO,1807,31
202,Monastic Schocker (pseudo-historical title),"Ireland, William Henry",m,"THE CATHOLIC: OR, ARTS AND DEEDS OF THE POPISH CHURCH, A TASTE OF ENGLISH HISTORY",1807,
232,Gothified history (monastic shocker elements),"Lathom, Francis",m,"THE FATAL VOW: OR, ST. MICHAELS MONASTERY",1807,
246,Gothic chapbook (converted from Gothic drama),"Lewis, Matthew",m,"THE WOOD DAEMON, OR, ""THE CLOCK HAS STRUCK""",1807,102
265,Pure or high Gothic (terror-horror modes),"Maturin, Charles Robert",m,"FATAL REVENGE, OR, THE FAMILY OF MONTORIO. A ROMANCE",1807,108
281,"Pure or high Gothic (terror mode, imitation of Maturin’s THE FATAL REVENGE)","Melville, Theodore",m,"THE BENEVOLENT MONK: OR, THE CASTLE OF OLALLA",1807,
290,Pure or high Gothic (elements of the monastic shocker and Ireland’s THE ABBESS),"Montague, Edward",m,LEGENDS OF A NUNNERY: A ROMANTIC LEGEND,1807,
291,"Pure or high Gothic (monastic shocker, excessive natural and supernatural horror)","Montague, Edward",m,THE DEMON OF SICILY,1807,117
317,Pure or high Gothic (terror mode),"Palmer, John, Jr.",m,"THE MYSTIC SEPULCHRE: OR, SUCH THINGS HAVE BEEN, A SPANISH ROMANCE",1807,
40,Pure or high Gothic (moralized mystery fiction),"Bounden, Joseph",m,"THE MURDERER: OR, THE FALL OF LECAS",1808,
41,Pure or high Gothic (terror mode),"Brewer, George",m,THE WITCH OF RAVENSWORTH. A ROMANCE,1808,10
83,Gothic chapbook,"Crookenden, Isaac",m,"HORRIBLE REVENGE, OR, THE MONSTER OF ITALY!! With HORRIBLE REVENGE is bound HOPELESS LOVE. AN INTERESTING TALE",1808,21
233,Gothified history (terror mode),"Lathom, Francis",m,"THE UNKNOWN, OR, THE NORTHERN GALLERY. A ROMANCE",1808,90
247,"Gothic anthology (terror, horror, and Schauerromantik modes represented with Germanic translations and imitations)","Lewis, Matthew",m,ROMANTIC TALES,1808,100
266,Domestic fiction (several touches of terror Gothicism),"Maturin, Charles Robert",m,THE WILD IRISH BOY,1808,111
193,Gothified history (terror mode),"Hunt, Rev. J.P.",m,"THE IRON MASK: OR, THE ADVENTURES OF A FATHER AND SON",1809,
410,Pure or high Gothic (journalistic format),"Sickelmore, Richard",m,"OSRICK: OR, MODERN HORRORS, A ROMANCE INTERSPERSED WITH A FEW ANECDOTES, ETC. THAT HAVE THEIR FOUNDATIONS IN TRUTH",1809,
413,Domestic Gothic (apparitional visitations),"Siddons, Henry",m,THE SON OF THE STORM. A TALE,1809,169
93,Pure or high Gothic (terror mode),"Curties, T. J. Horsley (Thomas Isaac)",m,THE RUINS OF THE ABBEY OF FITZ-MARTIN,1810,
106,Sentimental Gothic (terror mode),"Dallas, Robert Charles",m,"SIR FRANCIS DARRELL, OR, THE VORTEX. A NOVEL",1810,39
122,Pure or high Gothic (didactic elements),"English, John",m,THE GREY FRIAR AND THE BLACK SPIRIT OF THE WYE,1810,
124,Gothic chapbook (based on THE MONK),"Lathom, Francis",m,"FATAL VOWS, OR, THE FALSE MONK. A ROMANCE",1810,45
181,Pure or high Gothic (horror-terror modes),"Holstein, Anthony Frederick",m,"LOVE, MYSTERY, AND MISERY!",1810,
182,Pure or high Gothic (domestic elements),"Holstein, Anthony Frederick",m,"THE ASSASSIN OF ST. GLENROY: OR, THE AXIS OF LIFE",1810,
362,Domestic fiction (various Gothic elements),"Roche, John Hamilton",m,"A SUFFOLK TALE, OR, THE PERFIDIOUS GUARDIAN",1810,146
404,Pure or high Gothic (Schauerromantik features and characters),"Shelley, Percy",m,ZASTROZZI. A ROMANCE,1810,167
"188, 222",Pure or high Gothic (terror mode); Gothified history (Radcliffean imitation),"Huish, Robert or G. Lambe",m,THE MYSTERIES OF FERNEY CASTLE: A ROMANCE OF THE FIFTEENTH CENTURY,1810,
84,Gothic chapbook,"Crookenden, Isaac",m,"THE ITALIAN BANDITTI, OR, THE SECRET HISTORY OF HENRY AND MATILDA. A ROMANCE.",1811,22
405,Pure or high Gothic (Schauerromantik features and characters),"Shelley, Percy",m,"ST. IRVYNE, OR, THE ROSICRURIAN. A ROMANCE",1811,166
75,Pure or high Gothic (terror mode),"Crandolph, Augustus",m,"THE MYSTERIOUS HAND: OR, SUBTERRANEAN HORROURS, A ROMANCE",1811,
267,"Pure or high Gothic (terror mode, revolutionary Irish politics)","Maturin, Charles Robert",m,THE MILESIAN CHIEF. A ROMANCE,1812,110
428,Räuberroman and Ritterroman (sham translation from the German),"Soane, George",m,KNIGHT DAEMON AND ROBBER CHIEF,1812,
26,Gothic Parody,"Barrett, Eaton Stannard",m,"THE HEROINE: OR, THE ADVENTURES OF A FAIR ROMANCE READER",1813,
172,"Pure or high Gothic (terror mode, Radcliffean imitation)","Haynes, D.F.",m,"PIERRE AND ADELINE: OR, THE ROMANCE OF THE CASTLE",1814,
176,Gothified History (horror-terror modes),"Hitchener, William Henry",m,"THE TOWERS OF RAVENSWOLD: OR, THE DAYS OF IRONSIDE",1814,
325,Gothic parody (also satirizes other romantic attitudes toward nature and architecture),"Peacock, Thomas Love",m,HEADLONG HALL,1816,
388,Historical fiction (elements of Gothic characterization and scenery),"Scott, Sir Walter",m,THE BLACK DWARF,1816,
294,Gothified history (terror mode),"Moore, George",m,THE MYSTERIES OF HUNGARY: A ROMANTIC HISTORY OF THE FIFTEENTH CENTURY,1817,
326,Gothic Parody,"Peacock, Thomas Love",m,NIGHTMARE ABBEY,1818,
17,Gothic Rauberroman (elements of the monastic shocker),"Ball, Edward",m,THE BLACK ROBBER. A ROMANCE,1819,1
333,Prototypical Vampire Tale (Gothic characterization and scenery),"Polidori, John William",m,THE VAMPYRE. A TALE,1819,131
334,Natural Gothic horror (uses incest motif),"Polidori, John William",m,"ERNESTUS BERCHTOLD, OR, THE MODERN OEDIPUS. A TALE",1819,130
389,Historical fiction (salient Gothic traits),"Scott, Sir Walter",m,THE BRIDE OF LAMMERMOOR,1819,
390,Historical fiction (varieties of Gothic characterization and monastic locale),"Scott, Sir Walter",m,THE ABBOT,1819,
156,Sorcerer Gothic (imitates Radcliffean Gothic),"Hales, J.M.H.",m,"THE ASTROLOGER: OR, THE EVE OF SAN SEBASTIAN",1820,
189,Pure or high Gothic (no supernatural elements),"Huish, Robert",m,"THE BROTHERS, OR, THE CASTLE OF NIOLO",1820,70
234,Pure or high Gothic,"Lathom, Francis",m,"ITALIAN MYSTERIES, OR, MORE SECRETS THAN ONE. A ROMANCE",1820,86
268,"Pure or high Gothic (actually, a composite of Gothic types)","Maturin, Charles Robert",m,MELMOTH THE WANDERER,1820,109
391,Historical fiction (prominent Gothic influences in scenery and characterization),"Scott, Sir Walter",m,THE MONASTERY,1820,
,(not indexed),"Brydges, Sir Samuel Egerton",m,SIR RALPH WILLOUGHBY. AN HISTORICAL TALE OF THE SIXTEENTH CENTURY,1820,14
,(not indexed),"Gaspey, Thomas",m,"THE MYSTERY, OR, FORTY YEARS AGO. A NOVEL",1820,48
,(not indexed),"Lucas, Charles",m,"GWELYGORDD, OR, THE CHILD OF SIN. A TALE OF WELSH ORIGIN",1820,103
263,Pure or high Gothic,"Marshall, Thomas",m,"THE IRISH NECROMANCER: OR, DEER PARK",1821,
392,"Historical fiction (substantial Gothic residue, especially the persecuted maiden)","Scott, Sir Walter",m,KENILWORTH,1821,
177,Gothified History (a witchcraft segment),"Hogg, James",m,"THE THREE PERILS OF MAN, OR, WAR, WOMEN, AND WITCHCRAFT. A BORDER ROMANCE",1822,67
382,Sentimental Gothic,"Russell, John",m,THENUN OF ARROUCA: A TALE,1822,
129,Pure or high Gothic (terror mode),"Fletcher, Grenville",m,"ROSALVIVA, OR, THE DEMON DWARF. A ROMANCE",1824,46
178,Doppleganger or Double Story (terror-horror modes),"Hogg, James",m,THE PRIVATE MEMOIRS AND CONFESSIONS OF A JUSTIFIED SINNER,1824,66
269,Gothified history (terror-horror modes),"Maturin, Charles Robert",m,THE ALBIGENSES. A ROMANCE,1824,107
,(not indexed),"Green, William Child",m,"THE PROPHECY OF DUNCANNON, OR, THE DWARF AND THE SEER. A CALEDONIAN LEGEND",1824,56
,(not indexed),"Green, William Child",m,"THE WOODLAND FAMILY, OR, THE SONS OF ERROR AND DAUGHTERS OF SIMPLICITY. A DOMESTIC TALE",1824,57
146,Pure or high Gothic (terror mode),"Green, William Child",m,"ABBOT OF MONTSERRAT, OR, THE POOL OF BLOOD. A ROMANCE",1826,53
,(not indexed),"Lewis, Matthew",m,"THE ISLE OF DEVILS. AN HISTORICAL TALE, FOUNDED ON AN ANECDOTE IN THE ANNALS OF PORTUGAL",1827,98
,(not indexed),"Moore, Thomas",m,THE EPICUREAN. A TALE,1827,121
77,Gothified History (Wandering Jew legend),"Croly, George",m,"SALATHIEL. A STORY OF THE PAST, THE PRESENT, AND THE FUTURE",1828,19
190,Documentary Gothic (natural horror based on an actual incident),"Huish, Robert",m,"THE RED BARN. A TALE, FOUNDED ON FACT",1828,72
235,"Pure or high Gothic (terror mode, elements of Gothified history)","Lathom, Francis",m,"MYSTIC EVENTS: OR, THE VISION OF THE TAPESTRY, A ROMANTIC LEGEND OF THE DAYS OF ANNE BOLEYN",1830,
147,Gothic Quest legend (elements of MELMOTH THE WANDERER),"Green, William Child",m,ALIBEG THE TEMPTER. A TALE WILD AND WONDERFUL,1831,55
327,Gothic parody,"Peacock, Thomas Love",m,CROTCHET CASTLE,1831,
111,"Pure or high Gothic (terror mode, Gothified history)","DeQuincey, Thomas",m,"KLOSTERHEIM, OR, THE MASQUE",1832,42
148,Orientalized Gothic,"Green, William Child",m,"THE ALGERINES, OR, THE TWINS OF NAPLES",1832,54
191,Domestic Gothic (terror elements),"Huish, Robert",m,FITZALLEN,1832,71
31,Orientalized Gothic fantasy,"Beckford, William",m,THE EPISODES OF VATHEK,1912,
60,Gothic chapbook (Rauberromantik elements),"Chamberlain, Frederick",m,"LUCRETIA: OR, THE ROBBERS OF THE HYRCANEAN FOREST",n.d.,
85,Gothic chapbook (Shauerromantik elements),"Crookenden, Isaac",m,"SPECTRE OF THE TURRET, OR, GUOLTO CASTLE. A ROMANCE",n.d.,26
,(not indexed),"Crookenden, Isaac",m,ROMANTIC TALES,n.d.,24
154,Sentimental fiction (emergent Gothic elements),"Gunning, Susan Minifie",f,BARFORD ABBEY: A NOVEL IN A SERIES OF LETTERS,1768,
,(not indexed),"Bonhote, Elizabeth",f,THE FASHIONABLE FRIEND. A NOVEL,1773,8
355,Gothified history (subdued supernatural and domesticated Gothic),"Reeve, Clara",f,THE OLD ENGLISH BARON,1777,141
356,Sentimental fiction (intermittent Gothic elements),"Reeve, Clara",f,THE TWO MENTORS. A MODERN STORY,1783,143
240,Gothified history (terror and sentimental elements),"Lee, Sophia",f,"THE RECESS, OR, A TALE OF OTHER TIMES",1785,92
135,Gothified history,"Fuller, Anne",f,ALAN FITZ-OSBORNE: AN HISTORICAL TALE,1786,
161,Pure or high Gothic (terror mode),"Harley, Mrs.",f,THE CASTLE OF MOWBRAY: AN ENGLISH ROMANCE,1788,
357,Sentimental fiction (intermittent Gothic elements),"Reeve, Clara",f,"THE EXILES, OR, MEMOIRS OF THE COUNT DE CRONSTADT",1788,140
379,Picaresque fantasy (intermittent Gothic elements),"Rowson, Susanna Haswell",f,"THE INQUISITOR: OR, INVISIBLE RAMBLER",1788,
421,Sentimental Gothic (prominent features of the novel of terror),"Smith, Charlotte",f,"EMMELINE, THE ORPHAN OF THE CASTLE",1788,
160,Gothified history (terror mode),"Harley, Mrs.",f,PRIORY OF ST. BERNARD. AN OLD ENGLISH TALE,1789,62
346,Pure or high Gothic (terror mode),"Radcliffe, Ann",f,THE CASTLES OF ATHLIN AND DUNBAYNE,1789,133
422,Sentimental Gothic (anticipates Radcliffean Gothic romance),"Smith, Charlotte",f,"ETHELINDE: OR, THE RECLUSE OF THE LAKE",1789,
18,Gothified history (terror mode),"Ballin, Rossetta",f,THE STATUE ROOM: AN HISTORICAL ROMANCE,1790,
347,Pure or high Gothic (terror mode),"Radcliffe, Ann",f,A SICILIAN ROMANCE,1790,138
,(not indexed),"Bonhote, Elizabeth",f,ELLEN WOODLEY. A NOVEL,1790,7
,(not indexed),"Parsons, Eliza",f,THE HISTORY OF MISS MEREDITH. A NOVEL,1790,126
,(not indexed),"Williams, Helen Maria",f,"JULIA. A NOVEL, INTERSPERSED WITH SOME POETICAL PIECES",1790,203
255,Gothified history (terror mode),"Mackenzie, Anna Maria",f,THE DANISH MASSACRE. AN HISTORICAL FACT,1791,105
348,Pure or high Gothic (terror mode),"Radcliffe, Ann",f,THE ROMANCE OF THE FOREST,1791,137
358,Sentimental fiction (intermittent Gothic elements),"Reeve, Clara",f,THE SCHOOL FOR WIDOWS. A NOVEL,1791,142
21,Pure or high Gothic (horror-terror modes),"Barbauld, Anna Laetitia",f,"""SIR BERTRAND. A FRAGMENT""",1792,2
360,Sentimentalized Gothic (uses the motif of the mysterious key),"Robinson, Mary",f,"VACENZA, OR, THE DANGERS OF CREDULITY",1792,145
444,Sentimental Gothic (terror mode),"Street, Miss",f,THE RECLUSE OF THE APPENNINES,1792,
319,"Pure or high Gothic (Germanic and Schauerromantik elements, sham translation)","Parsons, Eliza",f,CASTLE OF WOLFENBACH. A GERMAN STORY,1793,125
363,Sentimentalized Gothic (numerous Radcliffean echoes and elements),"Roche, Regina Maria",f,THE MAID OF THE HAMLET. A TALE,1793,153
423,Sentimental Gothic (polemical and didactic elements),"Smith, Charlotte",f,THE OLD MANOR HOUSE,1793,
,(not indexed),"West, Jane",f,"THE ADVANTAGES OF EDUCATION, OR, THE HISTORY OF MARIA WILLIAMS. A TALE FOR MISSES AND THEIR MAMMAS",1793,195
32,Sentimental Gothic,"Bennett, Agnes Maria",f,"ELLEN, COUNTESS OF CASTLE HOWEL",1794,
210,"Domestic Gothic (more domestic than Gothic, a few terror elements)","Kelly, Isabella",f,"MADELINE, OR, THE CASTLE OF MONTGOMERY. A NOVEL",1794,81
349,Pure or high Gothic (terror mode),"Radcliffe, Ann",f,THE MYSTERIES OF UDOLPHO. A ROMANCE,1794,136
424,Political Gothic (terrors of the French Revolution),"Smith, Charlotte",f,THE BANISHED MAN,1794,
443,Sentimental Gothic (imitation of Charlotte Smith’s EMMELINE),"Stratton, Jemima Maria",f,THE MAID OF THE CASTLE: A LEGENDARY TALE,1794,
,(not indexed),"Helme, Elizabeth",f,DUNCAN AND PEGGY. A SCOTTISH TALE,1794,63
,(not indexed),"Smith, Charlotte",f,THE WANDERINGS OF WARWICK. A NOVEL,1794,176
127,Sentimental Gothic (romance of the ruin),"Fenwick, Eliza",f,"SECRESY: OR, THE RUIN ON THE ROCK",1795,
211,Pure or high Gothic (in the novel's maiden-centered episodes),"Kelly, Isabella",f,THE ABBEY OF SAINT ASAPH. A NOVEL,1795,80
256,Gothified history (terror mode),"Mackenzie, Anna Maria",f,MYSTERIES ELUCIDATED,1795,
271,Pure or high Gothic (Radcliffean imitation),"Meeke, Mary",f,THE ABBEY OF CLUGNY,1795,
272,Domestic Gothic (search for the father),"Meeke, Mary",f,"COUNT ST. BLANCHARD, OR, THE PREJUDICED JUDGE. A NOVEL",1795,112
39,Pure or high Gothic (terror mode),"Bonhote, Elizabeth",f,BUNGAY CASTLE. A NOVEL,1796,6
46,Sentimental Gothic (imitation of Charlotte Smith),"Burke, Ann",f,"THE SORROWS OF EDITH: OR, THE HERMITAGE OF THE CLIFFS",1796,
128,Domestic Gothic,"Fitz John, Matilda",f,JOAN!!!,1796,
173,Sentimental fiction (Radcliffean terror elements),"Helme, Elizabeth",f,THE FARMER OF INGLEWOOD FOREST,1796,64
212,Romance of the Ruin (terror mode),"Kelly, Isabella",f,THE RUINS OF AVONDALE PRIORY,1796,
224,Pure or high Gothic (terror mode),"Lansdell, Sarah",f,"MANFREDI, BARON ST. OSMUND: AN OLD ENGLISH ROMANCE",1796,
320,"Pure or high Gothic (terror mode, explained supernatural)","Parsons, Eliza",f,THE MYSTERIOUS WARNING. A GERMAN TALE,1796,127
361,Pure or high Gothic (Radcliffean imitation),"Robinson, Mary",f,HUBERT DE SEVRAC: A ROMANCE OF THE EIGHTEENTH CENTURY,1796,
