,f,m,unknown,Grand Total
1753,,0,,0
1762,,0,,0
1764,,0,,0
1768,1,,,1
1771,,1,,1
1777,0,0,,0
1783,1,0,,1
1785,1,,,1
1786,0,0,,0
1788,2,,1,3
1789,1,0,1,2
1790,0,,0,0
1791,1,0,0,1
1792,2,0,0,2
1793,2,,0,2
1794,2,0,0,2
1795,1,0,0,1
1796,4,0,0,4
1797,0,0,1,1
1798,1,0,0,1
1799,0,1,0,1
1800,2,1,0,3
1801,2,0,0,2
1802,1,0,2,3
1803,1,0,0,1
1804,1,0,0,1
1805,4,0,0,4
1806,3,0,0,3
1807,2,0,1,3
1808,0,0,0,0
1809,0,0,0,0
1810,2,1,0,3
1811,1,0,1,2
1812,1,0,1,2
1813,2,0,0,2
1814,2,0,0,2
1815,0,,0,0
1816,2,0,,2
1817,0,0,0,0
1818,1,0,0,1
1819,2,0,0,2
1820,0,0,,0
1821,0,0,,0
1822,0,1,,1
1823,1,,,1
1824,0,0,1,1
1825,1,,,1
1826,0,0,0,0
1827,0,,,0
1828,1,0,0,1
1830,0,0,,0
1831,,0,,0
1832,,0,,0
1835,0,,,0
1912,,0,,0
Grand Total,51,5,10,66
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,