gothic type,total f,total m,total unk,total total
high,85,60,48,193
Pure,85,60,48,193
terror,86,52,30,168
Gothified,32,25,14,71
history,26,24,14,64
imitation,21,17,24,62
chapbook,28,14,15,57
horror,28,12,11,51
the,7,9,17,33
modes,16,7,3,26
sentimental,7,4,4,15
Schauerromantik,2,8,4,14
bluebook,2,6,5,13
domestic,5,7,0,12
from,1,5,5,11
a,3,7,1,11
Chapbook,6,0,3,9
didactic,8,0,1,9
supernatural,1,5,2,8
in,3,3,2,8
parody,2,4,2,8
Rauberroman,3,2,2,7
ruin,2,1,3,6
Romance,2,1,3,6
various,2,2,2,6
Grotto,2,2,2,6
romance,2,2,2,6
numerous,0,3,3,6
several,0,3,3,6
based,4,0,1,5
Orientalized,3,1,1,5
Reeves,2,1,2,5
scenery,1,2,2,5
Gothics,0,2,3,5
composite,0,2,3,5
OLDENGLISHBARON,2,1,2,5
satiric,1,2,1,4
THEITALIAN,2,0,2,4
characterization,0,1,3,4
plagiarism,0,1,3,4
sham,1,1,2,4
uses,1,2,1,4
characters,1,1,2,4
natural,2,1,1,4
episodes,2,1,1,4
effects,0,2,2,4
Mrs.Radcliffes,2,0,1,3
Political,1,1,1,3
title,1,1,1,3
French,1,1,1,3
terrors,1,1,1,3
Parody,2,1,0,3
motif,0,3,0,3
Ruin,2,0,1,3
Germanic,0,2,1,3
novels,1,1,1,3
Shauerromantik,1,1,1,3
prominent,1,0,2,3
Shakespearean,0,2,0,2
situations,0,1,1,2
CharlotteSmiths,0,1,1,2
picaresque,0,2,0,2
emergent,1,1,0,2
clef,0,2,0,2
spectral,0,1,1,2
CharlotteSmith,1,1,0,2
legend,2,0,0,2
many,1,1,0,2
roman,0,2,0,2
periodic,0,2,0,2
Irelands,1,1,0,2
horrific,1,0,1,2
to,0,1,1,2
few,2,0,0,2
secret,1,0,1,2
combined,1,0,1,2
prototype,0,1,1,2
Novel,1,1,0,2
German,0,0,2,2
science,0,0,2,2
villain,0,2,0,2
abridgement,1,0,1,2
Roman,2,0,0,2
no,1,0,1,2
components,0,1,1,2
echoes,1,1,0,2
Mrs.Radcliffe,0,2,0,2
character,0,1,1,2
verse,1,0,1,2
Quest,1,1,0,2
format,0,0,2,2
Tower,1,1,0,2
THERECESS,1,0,1,2
all,1,0,0,1
plagiarisms,0,0,1,1
saga,1,0,0,1
Seduction,1,0,0,1
chapters,0,1,0,1
anticipates,0,0,1,1
plagiarized,0,0,1,1
reductions,0,1,0,1
principal,1,0,0,1
touches,0,1,0,1
father,0,1,0,1
Macbethian,0,1,0,1
only,0,1,0,1
Jacobin,0,1,0,1
under,0,0,1,1
preGothic,0,0,1,1
translations,0,1,0,1
recessive,0,0,1,1
THEHEROINE,1,0,0,1
procedures,0,1,0,1
settings,0,1,0,1
pleasures,0,1,0,1
mild,0,1,0,1
architecture,0,1,0,1
Lathoms,0,1,0,1
futuristic,0,0,1,1
tyrant,0,0,1,1
locale,0,0,1,1
journalistic,0,0,1,1
reverberations,1,0,0,1
Shocker,1,0,0,1
subspecies,0,1,0,1
prototypical,0,1,0,1
monster,0,1,0,1
pseudohistorical,1,0,0,1
artificial,0,1,0,1
minimal,0,0,1,1
Rochean,0,0,1,1
attitudes,0,1,0,1
props,1,0,0,1
Sorcerer,1,0,0,1
Natural,0,1,0,1
nature,0,1,0,1
compilation,0,1,0,1
residual,0,1,0,1
highly,0,0,1,1
incident,1,0,0,1
free,0,1,0,1
key,0,1,0,1
represented,0,1,0,1
novelette,1,0,0,1
persecuted,0,0,1,1
Schocker,1,0,0,1
Godwin,0,1,0,1
LARELIGIEUSE,0,0,1,1
Rauberromantik,1,0,0,1
search,0,1,0,1
didactit,0,1,0,1
technical,0,0,1,1
Naturalized,0,1,0,1
historical,0,1,0,1
social,0,0,1,1
Godwins,0,0,1,1
compressed,0,0,1,1
family,1,0,0,1
explained,0,1,0,1
feelings,0,1,0,1
twin,0,1,0,1
WanderingJew,1,0,0,1
sadism,0,1,0,1
noir,1,0,0,1
puzzlements,0,1,0,1
caricature,1,0,0,1
varieties,0,0,1,1
satire,0,1,0,1
theme,0,1,0,1
mysterious,0,1,0,1
Lebrun,0,1,0,1
more,1,0,0,1
LONGSWORD,0,0,1,1
main,0,0,1,1
FehmicCourt,0,0,1,1
satirizes,0,1,0,1
pseudohistory,1,0,0,1
recessant,0,0,1,1
Revolution,0,0,1,1
cases,0,1,0,1
Shelleys,0,0,1,1
tribunal,1,0,0,1
straight,0,0,1,1
essays,1,0,0,1
serialized,0,1,0,1
thrillers,0,1,0,1
novella,1,0,0,1
Noir,1,0,0,1
ABBESS,1,0,0,1
is,0,1,0,1
Documentary,1,0,0,1
Ideas,1,0,0,1
1798,0,0,1,1
gothic,1,0,0,1
prose,1,0,0,1
counterfeit,1,0,0,1
Apocalyptic,0,0,1,1
JohnMoores,1,0,0,1
titular,0,1,0,1
strains,0,0,1,1
Contemporized,1,0,0,1
Mackenzies,0,0,1,1
influences,0,0,1,1
visitations,0,0,1,1
1753,0,1,0,1
novelists,0,1,0,1
appearances,0,1,0,1
containing,0,1,0,1
Pigault,0,1,0,1
Diderots,0,0,1,1
authentic,0,1,0,1
castle,0,0,1,1
types,0,1,0,1
Tale,0,1,0,1
short,1,0,0,1
Doppleganger,1,0,0,1
nationalistic,0,1,0,1
Raüberroman,1,0,0,1
loathsome,0,0,1,1
subplots,0,0,1,1
entanglements,0,1,0,1
excessive,0,1,0,1
Reeve,0,0,1,1
heavily,0,0,1,1
primitive,0,0,1,1
nouvella,1,0,0,1
ideas,0,0,1,1
Richardsonian,1,0,0,1
Walpole,0,0,1,1
Maturins,0,1,0,1
ZELUCO,1,0,0,1
its,0,0,1,1
taken,0,1,0,1
1835,0,1,0,1
Smiths,1,0,0,1
actually,0,1,0,1
source,1,0,0,1
Lewisite,1,0,0,1
categorized,0,0,1,1
has,0,1,0,1
transformation,0,1,0,1
sublime,0,0,1,1
Spenserian,0,1,0,1
titling,0,1,0,1
early,0,1,0,1
Didactic,0,1,0,1
fusion,1,0,0,1
quest,0,1,0,1
five,0,1,0,1
aborted,1,0,0,1
apparitional,0,0,1,1
Fiction,1,0,0,1
mystery,1,0,0,1